id,category,affected_rows,original_citation_url,mirror_url,http_status,local_original_path,local_markdown_path,retrieved_at,notes
OSHA-lab-safety-guidance-pdf,blocked_no_mirror_found,29,https://www.osha.gov/sites/default/files/publications/OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
CDC-BMBL-html-upper,blocked_no_mirror_found,27,https://www.cdc.gov/labs/BMBL.html,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
OSHA-laser-hazards-page,blocked_no_mirror_found,23,https://www.osha.gov/laser-hazards/hazards,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
CDC-MMWR-su6101a1,blocked_no_mirror_found,14,https://www.cdc.gov/mmwr/preview/mmwrhtml/su6101a1.htm,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
Thermo-UHPLC-pdf,blocked_no_mirror_found,10,https://documents.thermofisher.com/TFS-Assets/CMD/manuals/Man-4820-3601-LC-Vanquish-UHPLC-Man48203601-EN.pdf,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
OSHA-employer-responsibilities,blocked_no_mirror_found,9,https://www.osha.gov/workers/employer-responsibilities,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
CDC-BMBL-html-lower-v1,blocked_no_mirror_found,8,https://www.cdc.gov/labs/bmbl/,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
CDC-BMBL-html-lower-v2,blocked_no_mirror_found,5,https://www.cdc.gov/labs/bmbl.html,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
NIH-recombinant-guidelines-pdf,blocked_no_mirror_found,5,https://osp.od.nih.gov/wp-content/uploads/NIH_Guidelines.pdf,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
OSHA-standardinterpretations-2009,blocked_no_mirror_found,5,https://www.osha.gov/laws-regs/standardinterpretations/2009-06-01,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
OSHA3088-emergency-planning-pdf,blocked_no_mirror_found,5,https://www.osha.gov/sites/default/files/publications/OSHA3088.pdf,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
OSHA-hazcom-appendix-c,blocked_no_mirror_found,7,https://www.osha.gov/hazcom/appendix-c,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
OSHA-etool-shipyard-lasers,blocked_no_mirror_found,4,https://www.osha.gov/etools/shipyard-equipment/lasers,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
OSHA-etool-hospital-laser,blocked_no_mirror_found,4,https://www.osha.gov/etools/hospitals/surgical-suite/laser-hazards,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
OSHA3678-pictograms-pdf,blocked_no_mirror_found,4,https://www.osha.gov/sites/default/files/publications/OSHA3678.pdf,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
OSHA-chp-factsheet-pdf,blocked_no_mirror_found,4,https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-CHEMICAL-HYGIENE-PLAN.pdf,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
CDC-NIOSH-toluene-pocket-guide,blocked_no_mirror_found,3,https://www.cdc.gov/niosh/npg/npgd0619.html,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
CDC-NIOSH-skin-exposure,blocked_no_mirror_found,3,https://www.cdc.gov/niosh/skin-exposure/about/index.html,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
CDC-NIOSH-nanotechnology,blocked_no_mirror_found,3,https://www.cdc.gov/niosh/nano/about/index.html,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
NRC-I125-license-pdf,blocked_no_mirror_found,3,https://www.nrc.gov/docs/ML2014/ML20147A696.pdf,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
OSHA-laser-hazards-standards-page,blocked_no_mirror_found,3,https://www.osha.gov/laser-hazards/standards,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
OSHA-lab-standard-factsheet-pdf,blocked_no_mirror_found,3,https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-OSHA-LAB-STANDARD.pdf,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
OSHA-otm-section6-ch1,blocked_no_mirror_found,3,https://www.osha.gov/otm/section-6-health-care-facilities/chapter-1,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
NRC-radiation-protection-principles-page,blocked_no_mirror_found,7,https://www.nrc.gov/about-nrc/radiation/protects-you/protection-principles.html,,403,,,2026-07-23,"direct fetch (requests + realistic browser UA) returns HTTP 403; no legitimate official mirror (CFR/govinfo, NCBI Bookshelf, etc.) identified for this specific document this session; needs real-browser manual verification, not archived"
