sample_id,url,domain,affected_rows,old_status,new_script_status,browser_status,final_url,page_title,evidence_note
BROWSER-16,https://www.osha.gov/laws-regs/standardinterpretations/2009-06-01,www.osha.gov,5,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.osha.gov/laws-regs/standardinterpretations/2009-06-01,Requirements for eyewash and shower facilities,official OSHA HTML retrieved; manual web-reader review 2026-07-28
BROWSER-17,https://manualmachine.com/perkinelmer/tga4000/2520538-user-manual/,manualmachine.com,4,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://manualmachine.com/perkinelmer/tga4000/2520538-user-manual/,PerkinElmer TGA 4000 User Manual,manual HTML retrieved; manual web-reader review 2026-07-28
BROWSER-18,https://www.metrohm.com/en/products/ion-chromatography/usp-monographs-using-ion-chromatography.html,www.metrohm.com,4,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.metrohm.com/en/products/ion-chromatography/usp-monographs-using-ion-chromatography.html,USP monographs using ion chromatography,vendor HTML retrieved; manual web-reader review 2026-07-28
BROWSER-19,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=0E0C42CADDB0D3E8DA27FECB80CCDE02,openstd.samr.gov.cn,3,blocked_or_forbidden,open,web_reader_error,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=0E0C42CADDB0D3E8DA27FECB80CCDE02,,reader internal error; manual web-reader review 2026-07-28
BROWSER-20,https://www.cdc.gov/niosh/nano/about/index.html,www.cdc.gov,3,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.cdc.gov/niosh/nano/about/index.html,Nanotechnology,official CDC HTML retrieved; manual web-reader review 2026-07-28
BROWSER-21,https://www.tainstruments.com/applications/pharmaceuticals/,www.tainstruments.com,3,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.tainstruments.com/applications/pharmaceuticals/,Pharmaceuticals,vendor HTML retrieved; manual web-reader review 2026-07-28
BROWSER-22,https://osp.od.nih.gov/biotechnology/nih-guidelines/,osp.od.nih.gov,2,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://osp.od.nih.gov/events/nih-guidelines-honoring-the-past-charting-the-future/,NIH Guidelines event page,URL redirected; content reachable but not original target document; manual web-reader review 2026-07-28
BROWSER-23,https://pubs.acs.org/doi/10.1021/acs.jchemed.5b00511,pubs.acs.org,2,blocked_or_forbidden,blocked_or_forbidden,web_reader_error,https://pubs.acs.org/doi/10.1021/acs.jchemed.5b00511,,reader internal error; manual web-reader review 2026-07-28
BROWSER-24,https://www.mdpi.com/2076-3298/12/4/113,www.mdpi.com,2,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.mdpi.com/2076-3298/12/4/113,Worker Safety in High-Field NMR Spectroscopy Laboratories,publisher HTML retrieved; manual web-reader review 2026-07-28
BROWSER-25,https://www.safety.admin.cam.ac.uk/subjects/radiation/non-ionising-radiation/electromagnetic-fields,www.safety.admin.cam.ac.uk,2,blocked_or_forbidden,blocked_or_forbidden,web_reader_error,https://www.safety.admin.cam.ac.uk/subjects/radiation/non-ionising-radiation/electromagnetic-fields,,reader internal error; manual web-reader review 2026-07-28
BROWSER-26,https://www.waters.com/nextgen/us/en/products/chromatography/chromatography-pumps-components-and-Accessories/purification-solvent-management.html,www.waters.com,2,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.waters.com/nextgen/us/en/products/chromatography/chromatography-pumps-components-and-Accessories/purification-solvent-management.html,HPLC Solvent Managers,vendor HTML retrieved; manual web-reader review 2026-07-28
BROWSER-27,https://coactionspecialty.safetynow.com/chemical-compatibility-storage-guidelines-quick-tips/,coactionspecialty.safetynow.com,1,blocked_or_forbidden,blocked_or_forbidden,web_reader_error,https://coactionspecialty.safetynow.com/chemical-compatibility-storage-guidelines-quick-tips/,,reader internal error; manual web-reader review 2026-07-28
BROWSER-28,https://dehs.umn.edu/biological-safety-cabinets,dehs.umn.edu,1,blocked_or_forbidden,blocked_or_forbidden,web_reader_error,https://dehs.umn.edu/biological-safety-cabinets,,reader internal error; manual web-reader review 2026-07-28
BROWSER-29,https://ehs.princeton.edu/laboratory-research/chemical-waste-management,ehs.princeton.edu,1,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://ehs.princeton.edu/laboratory-research/chemical-waste-management,Chemical Waste Management,Princeton EHS HTML retrieved; manual web-reader review 2026-07-28
BROWSER-30,https://gradschool.cornell.edu/policies/safety-training/,gradschool.cornell.edu,1,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://gradschool.cornell.edu/policies/safety-training/,Safety Training,Cornell HTML retrieved; manual web-reader review 2026-07-28
