"priority","traceability_status","http_status","affected_row_count","domain","source_orgs","sample_source_title","sample_ids","url","final_url","error","manual_result","manual_access_time","reviewer","evidence_note","recommended_action"
"P1","blocked_or_forbidden","403","8","www.cdc.gov","CDC","Biosafety in Microbiological and Biomedical Laboratories (BMBL) 6th Edition","KB-RECO-0323;KB-RECO-0324;KB-RECO-0325;KB-RECO-0326;KB-RECO-0327","https://www.cdc.gov/labs/bmbl/","https://www.cdc.gov/labs/bmbl/","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与脚本审计结果一致。","保留CDC BMBL官方来源；送审现场需人工浏览器确认。"
"P1","network_error","","7","www.ncbi.nlm.nih.gov","National Academies Press / NCBI Bookshelf","Prudent Practices in the Laboratory - General Laboratory Safety","EXT-NCBI-PRUDENT-GENERAL-001-73840beb8a;EXT-NCBI-PRUDENT-GENERAL-002-21091728d9;EXT-NCBI-PRUDENT-GENERAL-003-1f17125990;EXT-NCBI-PRUDENT-GENERAL-004-27c598de07;EXT-NCBI-PRUDENT-GENERAL-006-b4447fc146","https://www.ncbi.nlm.nih.gov/books/NBK55878/","","ReadTimeout: HTTPSConnectionPool(host='www.ncbi.nlm.nih.gov', port=443): Read timed out. (read timeout=15)","archived_direct","2026-07-23","Claude (govinfo.gov/NCBI官方镜像下载+本地Markdown转换归档)","已直接从NCBI Bookshelf下载该章节HTML原文并转换为Markdown，内容与来源标题一致（该站点偶发连接超时，重试第3次成功，与原脚本审计的network_error表现一致）。","原文/Markdown已保存：artifacts/kb_source_archive_20260723/NCBI-NBK55878.html, artifacts/kb_source_archive_20260723/NCBI-NBK55878.md。可直接引用；建议后续将traceability_status由network_error更新为open。"
"P1","blocked_or_forbidden","403","7","www.nrc.gov","U.S. Nuclear Regulatory Commission (NRC)","10 CFR Part 20 - Standards for Protection Against Radiation","KB-RECO-0085;KB-RECO-0087;KB-RECO-0100;KB-RECO-0176;KB-RECO-0179","https://www.nrc.gov/reading-rm/doc-collections/cfr/part020/","https://www.nrc.gov/reading-rm/doc-collections/cfr/part020/","","archived_via_govinfo","2026-07-23","Claude (govinfo.gov/NCBI官方镜像下载+本地Markdown转换归档)","已从govinfo.gov下载10 CFR Part 20（辐射防护标准全篇）并转换为Markdown，保留原始XML；原文较长（约350页regulatory text），已完整保留，未截断。","原文/Markdown已保存：artifacts/kb_source_archive_20260723/NRC-10CFR-Part20.xml, artifacts/kb_source_archive_20260723/NRC-10CFR-Part20.md。"
"P1","blocked_or_forbidden","403","7","www.nrc.gov","U.S. Nuclear Regulatory Commission","Radiation Protection Standards","KB-PHASE4-0754;KB-PHASE4-0755;KB-PHASE4-0756;KB-PHASE4-0760;KB-PHASE4-0810","https://www.nrc.gov/about-nrc/radiation/protects-you/protection-principles.html","https://www.nrc.gov/about-nrc/radiation/protects-you/protection-principles.html","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与脚本审计结果一致。","保留NRC官方来源；送审现场需人工浏览器确认。"
"P1","blocked_or_forbidden","403","7","www.osha.gov","OSHA;Occupational Safety and Health Administration;U.S. Occupational Safety and Health Administration (OSHA)","1910.1200 - Hazard Communication","KB-PHASE4-0010;KB-PHASE4-0614;KB-PHASE4-0618;KB-PHASE4-0777;KB-PHASE4-0782","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1200","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1200","","archived_via_govinfo","2026-07-23","Claude (govinfo.gov/NCBI官方镜像下载+本地Markdown转换归档)","已从govinfo.gov下载29 CFR 1910.1200（危险公示标准）全文并转换为Markdown，保留原始XML。","原文/Markdown已保存：artifacts/kb_source_archive_20260723/OSHA-1910.1200.xml, artifacts/kb_source_archive_20260723/OSHA-1910.1200.md。"
"P1","blocked_or_forbidden","403","7","www.osha.gov","OSHA","OSHA Hazard Communication Standard - Appendix C","KB-PHASE4-0390;KB-PHASE4-0391;KB-PHASE4-0396;KB-PHASE4-0397;KB-PHASE4-0398","https://www.osha.gov/hazcom/appendix-c","https://www.osha.gov/hazcom/appendix-c","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与2026-07-18脚本审计结果一致，属OSHA站点对自动化客户端的反爬拦截，非死链。","保留OSHA官方来源；送审/答辩现场需人工浏览器现场点击确认，不依赖脚本或WebFetch通过率。"
"P1","blocked_or_forbidden","403","5","osp.od.nih.gov","NIH","NIH Guidelines for Research Involving Recombinant or Synthetic Nucleic Acid Molecules","KB-RECO-0331;KB-RECO-0332;KB-RECO-0333;KB-RECO-0334;KB-RECO-0335","https://osp.od.nih.gov/wp-content/uploads/NIH_Guidelines.pdf","https://osp.od.nih.gov/wp-content/uploads/NIH_Guidelines.pdf","ConnectionError: HTTPSConnectionPool(host='osp.od.nih.gov', port=443): Read timed out.","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden。原脚本审计记录的是ReadTimeout（network_error），本次WebFetch遇到的是明确的403拦截，两次失败原因不同但结论一致：该NIH文档站对自动化客户端有访问限制，非死链。","保留NIH官方指南来源；送审现场需人工浏览器确认；建议后续重跑脚本审计以稳定分类。"
"P1","blocked_or_forbidden","403","5","www.cdc.gov","Centers for Disease Control and Prevention;Centers for Disease Control and Prevention / National Institutes of Health","Biosafety in Microbiological and Biomedical Laboratories","KB-PHASE4-0752;KB-PHASE4-0753;KB-PHASE4-0788;KB-PHASE4-0789;KB-PHASE4-0790","https://www.cdc.gov/labs/bmbl.html","https://www.cdc.gov/labs/bmbl.html","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与脚本审计结果一致，CDC/NIOSH站点对自动化客户端的反爬拦截，非死链。","保留CDC/NIOSH官方来源；送审现场需人工浏览器确认。"
"P1","blocked_or_forbidden","403","5","www.osha.gov","OSHA;OSHA (Occupational Safety and Health Administration);OSHA / ANSI","OSHA Requirements for Eyewash and Shower Facilities","KB-RECO-0417;KB-RECO-0427;KB-PHASE4-0621;KB-PHASE4-0685;KB-PHASE4-0698","https://www.osha.gov/laws-regs/standardinterpretations/2009-06-01","https://www.osha.gov/laws-regs/standardinterpretations/2009-06-01","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与2026-07-18脚本审计结果一致，属OSHA站点对自动化客户端的反爬拦截，非死链。","保留OSHA官方来源；送审/答辩现场需人工浏览器现场点击确认，不依赖脚本或WebFetch通过率。"
"P1","blocked_or_forbidden","403","5","www.osha.gov","OSHA;OSHA / Cornell University EHS","OSHA - How to Plan for Workplace Emergencies and Evacuations","KB-PHASE4-0583;KB-PHASE4-0604;KB-PHASE4-0654;KB-PHASE4-0696;KB-PHASE4-0707","https://www.osha.gov/sites/default/files/publications/OSHA3088.pdf","https://www.osha.gov/sites/default/files/publications/OSHA3088.pdf","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与2026-07-18脚本审计结果一致，属OSHA站点对自动化客户端的反爬拦截，非死链。","保留OSHA官方来源；送审/答辩现场需人工浏览器现场点击确认，不依赖脚本或WebFetch通过率。"
"P1","blocked_or_forbidden","403","4","www.osha.gov","Occupational Safety and Health Administration","Laser Hazards - OSHA Technical Manual","KB-PHASE4-0762;KB-PHASE4-0763;KB-PHASE4-0764;KB-PHASE4-0765","https://www.osha.gov/etools/shipyard-equipment/lasers","https://www.osha.gov/etools/shipyard-equipment/lasers","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与2026-07-18脚本审计结果一致，属OSHA站点对自动化客户端的反爬拦截，非死链。","保留OSHA官方来源；送审/答辩现场需人工浏览器现场点击确认，不依赖脚本或WebFetch通过率。"
"P1","blocked_or_forbidden","403","4","www.osha.gov","Occupational Safety and Health Administration (OSHA)","eTool: Hospitals - Surgical Suite - Laser Hazards","KB-RECO-0114;KB-RECO-0115;KB-RECO-0128;KB-RECO-0135","https://www.osha.gov/etools/hospitals/surgical-suite/laser-hazards","https://www.osha.gov/etools/hospitals/surgical-suite/laser-hazards","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与2026-07-18脚本审计结果一致，属OSHA站点对自动化客户端的反爬拦截，非死链。","保留OSHA官方来源；送审/答辩现场需人工浏览器现场点击确认，不依赖脚本或WebFetch通过率。"
"P1","blocked_or_forbidden","403","4","www.osha.gov","OSHA","Hazard Communication Standard - 1910.1200","KB-RECO-0311;KB-RECO-0312;KB-RECO-0313;KB-RECO-0314","https://www.osha.gov/laws-regs/interlinking/standards/1910.1200","https://www.osha.gov/laws-regs/interlinking/standards/1910.1200","","archived_via_govinfo","2026-07-23","Claude (govinfo.gov/NCBI官方镜像下载+本地Markdown转换归档)","该URL与1910.1200标准编号页指向同一法规内容，已从govinfo.gov下载29 CFR 1910.1200全文（见OSHA-1910.1200.md），未重复归档。","复用：artifacts/kb_source_archive_20260723/OSHA-1910.1200.xml, artifacts/kb_source_archive_20260723/OSHA-1910.1200.md。"
"P1","blocked_or_forbidden","403","4","www.osha.gov","OSHA;Occupational Safety and Health Administration","1910.1030 - Bloodborne pathogens","KB-RECO-0363;KB-RECO-0364;KB-PHASE4-0737;KB-PHASE4-0796","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1030","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1030","","archived_via_govinfo","2026-07-23","Claude (govinfo.gov/NCBI官方镜像下载+本地Markdown转换归档)","已从govinfo.gov下载29 CFR 1910.1030（血源性病原体标准）全文并转换为Markdown，保留原始XML。","原文/Markdown已保存：artifacts/kb_source_archive_20260723/OSHA-1910.1030.xml, artifacts/kb_source_archive_20260723/OSHA-1910.1030.md。"
"P1","blocked_or_forbidden","403","4","www.osha.gov","OSHA","OSHA Hazard Communication Standard Pictograms","KB-PHASE4-0392;KB-PHASE4-0393;KB-PHASE4-0394;KB-PHASE4-0395","https://www.osha.gov/sites/default/files/publications/OSHA3678.pdf","https://www.osha.gov/sites/default/files/publications/OSHA3678.pdf","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与2026-07-18脚本审计结果一致，属OSHA站点对自动化客户端的反爬拦截，非死链。","保留OSHA官方来源；送审/答辩现场需人工浏览器现场点击确认，不依赖脚本或WebFetch通过率。"
"P1","blocked_or_forbidden","403","4","www.osha.gov","OSHA;OSHA (Occupational Safety and Health Administration)","Laboratory Safety Chemical Hygiene Plan","KB-RECO-0420;KB-PHASE4-0569;KB-PHASE4-0584;KB-PHASE4-0681","https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-CHEMICAL-HYGIENE-PLAN.pdf","https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-CHEMICAL-HYGIENE-PLAN.pdf","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与2026-07-18脚本审计结果一致，属OSHA站点对自动化客户端的反爬拦截，非死链。","保留OSHA官方来源；送审/答辩现场需人工浏览器现场点击确认，不依赖脚本或WebFetch通过率。"
"P1","network_error","","3","openstd.samr.gov.cn","国家市场监督管理总局/国家标准委","GB/T 13869-2017 用电安全导则","KB-1011;KB-1013;KB-1014","https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=0E0C42CADDB0D3E8DA27FECB80CCDE02","","ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","webfetch_not_found","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch成功打开页面，但系统明确返回'您所查询的标准系统尚未收录'（该hcno编号未被收录/无法匹配到GB/T 13869-2017）。这与此前openstd的另外两条记录（页面可达但仅缺JS全文渲染）性质不同——这条是查询未命中，可能是hcno参数有误、标准已下架或从未被本平台收录。","需要人工在openstd.samr.gov.cn重新搜索'GB/T 13869-2017 用电安全导则'确认正确的hcno链接，或改用国家标准全文公开系统的检索页替代直链；在未确认前不应归为普通network_error，建议单独标记待查。"
"P1","network_error","","3","www.agilent.com","Agilent Technologies","Agilent 7890B GC Safety Manual","KB-PHASE4-0422;KB-PHASE4-0429;KB-PHASE4-0491","https://www.agilent.com/cs/library/usermanuals/public/7890B_Safety.pdf","","ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))","browser_open_reused","2026-07-23","复用2026-07-18批次A的真实Chrome浏览器核实结果（browser_access_evidence.csv）","未在本次会话重新抓取；复用2026-07-18批次A的真实Chrome浏览器核实结果：Chrome PDF viewer显示标题'7890B GC Safety Manual'，共18页，确认可正常打开（见artifacts/browser_access_evidence_20260718/browser_access_evidence.csv, id=AGILENT-7890B-SAFETY）。","可直接引用；建议将traceability_status由network_error更新为open。"
"P1","blocked_or_forbidden","403","3","www.cdc.gov","CDC/NIOSH;Centers for Disease Control and Prevention (CDC) / NIOSH;Centers for Disease Control and Prevention / NIOSH","Toluene - NIOSH Pocket Guide","KB-PHASE4-0247;KB-PHASE4-0314;KB-CHEM2-0015","https://www.cdc.gov/niosh/npg/npgd0619.html","https://www.cdc.gov/niosh/npg/npgd0619.html","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与脚本审计结果一致，CDC/NIOSH站点对自动化客户端的反爬拦截，非死链。","保留CDC/NIOSH官方来源；送审现场需人工浏览器确认。"
"P1","blocked_or_forbidden","403","3","www.cdc.gov","Centers for Disease Control and Prevention (CDC) / NIOSH","Skin Exposures and Effects | NIOSH","KB-PHASE4-0210;KB-PHASE4-0274;KB-PHASE4-0277","https://www.cdc.gov/niosh/skin-exposure/about/index.html","https://www.cdc.gov/niosh/skin-exposure/about/index.html","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与脚本审计结果一致，CDC/NIOSH站点对自动化客户端的反爬拦截，非死链。","保留CDC/NIOSH官方来源；送审现场需人工浏览器确认。"
"P1","blocked_or_forbidden","403","3","www.cdc.gov","CDC/NIOSH","Nanotechnology | NIOSH | CDC","KB-PHASE4-0305;KB-PHASE4-0339;KB-PHASE4-0340","https://www.cdc.gov/niosh/nano/about/index.html","https://www.cdc.gov/niosh/nano/about/index.html","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与脚本审计结果一致，CDC/NIOSH站点对自动化客户端的反爬拦截，非死链。","保留CDC/NIOSH官方来源；送审现场需人工浏览器确认。"
"P1","blocked_or_forbidden","403","3","www.nrc.gov","U.S. Nuclear Regulatory Commission (NRC)","Application for license for use of I-125","KB-RECO-0090;KB-RECO-0099;KB-RECO-0189","https://www.nrc.gov/docs/ML2014/ML20147A696.pdf","https://www.nrc.gov/docs/ML2014/ML20147A696.pdf","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与脚本审计结果一致，NRC文档存档站对自动化客户端的反爬拦截。","保留NRC官方来源；送审现场需人工浏览器确认。"
"P1","blocked_or_forbidden","403","3","www.osha.gov","Occupational Safety and Health Administration (OSHA);U.S. Food and Drug Administration (FDA) / OSHA","Laser Hazards - Standards","KB-RECO-0119;KB-RECO-0127;KB-RECO-0131","https://www.osha.gov/laser-hazards/standards","https://www.osha.gov/laser-hazards/standards","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与2026-07-18脚本审计结果一致，属OSHA站点对自动化客户端的反爬拦截，非死链。","保留OSHA官方来源；送审/答辩现场需人工浏览器现场点击确认，不依赖脚本或WebFetch通过率。"
"P1","blocked_or_forbidden","403","3","www.osha.gov","OSHA;OSHA (Occupational Safety and Health Administration);Occupational Safety and Health Administration","1910.134 - Respiratory protection","KB-RECO-0366;KB-RECO-0425;KB-PHASE4-0787","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134","","archived_via_govinfo","2026-07-23","Claude (govinfo.gov/NCBI官方镜像下载+本地Markdown转换归档)","已从govinfo.gov下载29 CFR 1910.134（呼吸防护标准）全文并转换为Markdown，保留原始XML。","原文/Markdown已保存：artifacts/kb_source_archive_20260723/OSHA-1910.134.xml, artifacts/kb_source_archive_20260723/OSHA-1910.134.md。"
"P1","blocked_or_forbidden","403","3","www.osha.gov","OSHA;Occupational Safety and Health Administration","OSHA 29 CFR 1910.120 HAZWOPER; EPA Levels of Protection","KB-GAP-8018;KB-RECO-0317;KB-PHASE4-0805","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.120","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.120","","archived_via_govinfo","2026-07-23","Claude (govinfo.gov/NCBI官方镜像下载+本地Markdown转换归档)","已从govinfo.gov下载29 CFR 1910.120（HAZWOPER危废现场操作标准）全文并转换为Markdown，保留原始XML。","原文/Markdown已保存：artifacts/kb_source_archive_20260723/OSHA-1910.120.xml, artifacts/kb_source_archive_20260723/OSHA-1910.120.md。"
"P1","blocked_or_forbidden","403","3","www.osha.gov","U.S. Occupational Safety and Health Administration","OSHA Laboratory Standard Fact Sheet","KB-RECO-0209;KB-RECO-0213;KB-RECO-0227","https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-OSHA-LAB-STANDARD.pdf","https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-OSHA-LAB-STANDARD.pdf","","webfetch_403","2026-07-23","Claude (WebFetch自动化工具核实，非人工Chrome浏览器点击)","WebFetch返回HTTP 403 Forbidden，与2026-07-18脚本审计结果一致，属OSHA站点对自动化客户端的反爬拦截，非死链。","保留OSHA官方来源；送审/答辩现场需人工浏览器现场点击确认，不依赖脚本或WebFetch通过率。"
"P1","blocked_or_forbidden","403","3","www.osha.gov","OSHA;Occupational Safety and Health Administration","1910.333 - Selection and use of work practices","KB-RECO-0319;KB-PHASE4-0768;KB-PHASE4-0769","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.333","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.333","","archived_via_govinfo","2026-07-23","Claude (govinfo.gov/NCBI官方镜像下载+本地Markdown转换归档)","已从govinfo.gov下载29 CFR 1910.333（电气工作规范标准）全文并转换为Markdown，保留原始XML。","原文/Markdown已保存：artifacts/kb_source_archive_20260723/OSHA-1910.333.xml, artifacts/kb_source_archive_20260723/OSHA-1910.333.md。"
