id,title,org,url,category,subcategory,lab_type,hazard_types,source_type,version,date,max_sections
NCBI-PRUDENT-GENERAL,Prudent Practices in the Laboratory - General Laboratory Safety,National Academies Press / NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK55878/,通用,通用实验室安全,通用,通用安全;PPE;培训;设施,public_authoritative_source,,,28
NCBI-PRUDENT-EQUIPMENT,Prudent Practices in the Laboratory - Laboratory Equipment,National Academies Press / NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK55882/,通用,实验室设备安全,通用,设备安全;通风柜;玻璃器皿;压力系统,public_authoritative_source,,,28
NCBI-PRUDENT-CHEMICAL,Prudent Practices in the Laboratory - Working with Chemicals,National Academies Press / NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK55884/,化学,化学品操作,化学,危险化学品;操作控制;储存;废弃物;应急,public_authoritative_source,,,100
CORNELL-LSM,Cornell Laboratory Safety Manual,Cornell University EHS,https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual,通用,实验室安全手册,通用,实验室安全;责任分工;PPE;培训;应急,public_authoritative_source,,,35
CORNELL-CHP,Cornell Chemical Hygiene Plan,Cornell University EHS,https://ehs.cornell.edu/research-safety/chemical-safety/chemical-hygiene-plan,化学,化学卫生计划,化学,化学卫生计划;SOP;危险化学品;培训,public_authoritative_source,,,30
CORNELL-BIOSAFETY-DOCS,Cornell Biological Safety Manuals and Other Documents,Cornell University EHS,https://ehs.cornell.edu/research-safety/biosafety-biosecurity/biological-safety-manuals-and-other-documents,生物,生物安全文件,生物,生物安全;BSL;暴露控制;生物废物,public_authoritative_source,,,20
CORNELL-TRAINING-MATRIX,Cornell Laboratory Safety Training Matrix,Cornell University EHS,https://ehs.cornell.edu/research-safety/general-laboratory-safety/laboratory-safety-training-matrix,培训,实验室安全培训矩阵,通用,培训;准入;化学;生物;辐射;激光,public_authoritative_source,,,20
CORNELL-LASER-PAGE,Cornell Laser Safety,Cornell University EHS,https://ehs.cornell.edu/research-safety/radiation-safety/laser-safety,物理,激光安全,物理/工程,激光;注册;培训;PPE,public_authoritative_source,,,16
CORNELL-SDS,Cornell Safety Data Sheets Chemwatch,Cornell University EHS,https://ehs.cornell.edu/research-safety/chemical-safety/safety-data-sheets-chemwatch,化学,安全数据表 SDS,化学,SDS;化学品信息;危害沟通,public_authoritative_source,,,10
CORNELL-HW-MANUAL,Cornell Hazardous Waste Manual,Cornell University EHS,https://ehs.cornell.edu/book/export/html/1261,废弃物,危险废物手册,通用,危险废物;标签;暂存;处置;卫星积累区,public_authoritative_source,,,150
YALE-CHP,Yale Laboratory Chemical Hygiene Plan,Yale Environmental Health & Safety,https://ehs.yale.edu/sites/default/files/files/laboratory-chemical-hygiene-plan.pdf,化学,化学卫生计划,化学,化学卫生计划;PPE;通风柜;高危化学品,public_authoritative_source,,,80
YALE-LASER-SOP,Yale Laser Standard Operating Procedure,Yale Environmental Health & Safety,https://ehs.yale.edu/sites/default/files/files/laser-sop.pdf,物理,激光 SOP,物理/工程,激光;SOP;受控区域;眼损伤,public_authoritative_source,,,16
YALE-HF,Yale Hydrofluoric Acid Emergency Response,Yale Environmental Health & Safety,https://ehs.yale.edu/sites/default/files/files/hydrofluoric-acid-exposure.pdf,化学,氢氟酸应急,化学,氢氟酸;腐蚀;急救;应急响应,public_authoritative_source,,,12
YALE-LAB-RULES,Yale Laboratory Safety Rules,Yale Environmental Health & Safety,https://ehs.yale.edu/sites/default/files/files/lab-safety-rules.pdf,通用,实验室安全规则,通用,实验室规则;PPE;禁止事项;通用安全,public_authoritative_source,,,8
YALE-MIN-PPE,Yale Minimum Lab PPE,Yale Environmental Health & Safety,https://ehs.yale.edu/sites/default/files/files/minimum-lab-ppe.pdf,通用,最低实验室 PPE,通用,PPE;护目镜;实验服;手套,public_authoritative_source,,,8
YALE-BSC-POSTER,Yale Working Safely in Your Biosafety Cabinet,Yale Environmental Health & Safety,https://ehs.yale.edu/sites/default/files/files/biosafety-cabinet-poster.pdf,生物,生物安全柜,生物,生物安全柜;气流;污染控制;PPE,public_authoritative_source,,,10
YALE-NEEDLEBOX,Yale Needlebox Disposal Poster,Yale Environmental Health & Safety,https://ehs.yale.edu/sites/default/files/files/needlebox-disposal.pdf,生物,锐器盒处置,生物/医学,锐器;针头;生物废物;刺伤,public_authoritative_source,,,6
YALE-WASTE-PLACE,Yale Put Waste In Its Place,Yale Environmental Health & Safety,https://ehs.yale.edu/sites/default/files/files/waste-in-place.pdf,通用,废弃物分类,通用,废弃物;分类;标签;容器,public_authoritative_source,,,8
YALE-FUME-HOOD-NOTICE,Yale Fume Hood Repair Notice,Yale Environmental Health & Safety,https://ehs.yale.edu/sites/default/files/files/fume-hood-repair-notice.pdf,化学,通风柜维修,化学,通风柜;维修;停用;工程控制,public_authoritative_source,,,4
YALE-UNATTENDED,Yale Emergency Information for Unattended Operations,Yale Environmental Health & Safety,https://ehs.yale.edu/sites/default/files/files/unattended-operations.pdf,通用,无人值守操作,通用,无人值守;应急信息;风险控制,public_authoritative_source,,,6
YALE-CHEM-APPROVAL,Yale Chemicals Requiring EHS Pre-Approval,Yale Environmental Health & Safety,https://ehs.yale.edu/sites/default/files/files/chemicals-ehs-approval.pdf,化学,需 EHS 预审批化学品,化学,预审批;高危化学品;采购;使用控制,public_authoritative_source,,,8
YALE-GENE-DRIVE,Yale Gene Drive Modified Organisms,Yale Environmental Health & Safety,https://ehs.yale.edu/sites/default/files/files/gene-drive-modified-organisms.pdf,生物,基因驱动修饰生物,生物,基因驱动;GMO;生物安全;遏制,public_authoritative_source,,,8
YALE-PPE-LABS,Yale PPE Procedure for Clinical Laboratories,Yale Environmental Health & Safety,https://ehs.yale.edu/sites/default/files/files/ppe-procedure-labs.pdf,通用,临床实验室 PPE 程序,医学/生物,PPE;临床实验室;暴露控制,public_authoritative_source,,,12
YALE-SHOP-GUIDE,Yale Shop and Tool Safety,Yale Environmental Health & Safety,https://ehs.yale.edu/shop-tool-safety,设备安全,车间安全,工程/物理,机械;工具;PPE;车间,public_authoritative_source,,,8
YALE-STUDENT-SHOP,Yale Student Shop Rules,Yale Environmental Health & Safety,https://ehs.yale.edu/sites/default/files/files/student-shop-rules.pdf,设备安全,学生车间规则,工程/物理,机械;学生车间;培训;PPE,public_authoritative_source,,,8
YALE-ART-SAFETY,Yale Art Safety,Yale Environmental Health & Safety,https://ehs.yale.edu/art-safety,通用,艺术材料安全,艺术/设计,艺术材料;化学品;通风;PPE,public_authoritative_source,,,10
BERKELEY-CHP,UC Berkeley Chemical Hygiene Plan,"UC Berkeley Office of Environment, Health & Safety",https://ehs.berkeley.edu/safety-subjects/chemical-safety/chemical-hygiene-plan,化学,化学卫生计划,化学,化学卫生计划;危险化学品;PPE;通风柜,public_authoritative_source,,,28
BERKELEY-LSM,UC Berkeley Laboratory Safety Manual,"UC Berkeley Office of Environment, Health & Safety",https://ehs.berkeley.edu/laboratory-safety-manual,通用,实验室安全手册,通用,实验室安全;培训;PPE;应急,public_authoritative_source,,,28
BERKELEY-BIOSAFETY,UC Berkeley Biological Safety Program Manual,"UC Berkeley Office of Environment, Health & Safety",https://ehs.berkeley.edu/publications/biological-safety-program-manual,生物,生物安全手册,生物,生物安全;BSL;暴露控制;废弃物,public_authoritative_source,,,30
BERKELEY-LASER,UC Berkeley Laser Safety Manual,"UC Berkeley Office of Environment, Health & Safety",https://ehs.berkeley.edu/laser-safety-manual,物理,激光安全手册,物理/工程,激光;受控区域;眼损伤;联锁,public_authoritative_source,,,24
MIT-CHEMICAL,MIT Chemical Safety,"MIT Environment, Health & Safety",https://ehs.mit.edu/chemical-safety/,化学,化学安全,化学,化学品;SDS;通风柜;储存;废弃物,public_authoritative_source,,,18
MIT-CHEM-HYGIENE,MIT Chemical Hygiene,"MIT Environment, Health & Safety",https://ehs.mit.edu/chemical-safety-program/chemical-hygiene/,化学,化学卫生,化学,化学卫生计划;危险化学品;PPE;培训,public_authoritative_source,,,35
STANFORD-CHEM-TOOLKIT,Stanford Laboratory Chemical Safety Toolkit,Stanford Environmental Health & Safety,https://ehs.stanford.edu/forms-tools/laboratory-chemical-safety-toolkit,化学,实验室化学安全工具包,化学,化学安全;SOP;PPE;风险评估,public_authoritative_source,,,16
STANFORD-CHEM-WASTE,Stanford Chemical Waste Disposal,Stanford Environmental Health & Safety,https://ehs.stanford.edu/topic/chemical-safety/chemical-waste-disposal,废弃物,化学废物处置,化学,化学废物;标签;容器;处置,public_authoritative_source,,,20
STANFORD-BIO-WASTE,Stanford Biosafety Manual - Waste,Stanford Environmental Health & Safety,https://ehs.stanford.edu/manual/biosafety-manual/waste,生物,生物废物,生物,生物废物;灭菌;锐器;处置,public_authoritative_source,,,24
STANFORD-FUME-HOOD,Stanford Laboratory Standard Design Guidelines - Fume Hood Location,Stanford Environmental Health & Safety,https://ehs.stanford.edu/manual/laboratory-standard-design-guidelines/fume-hood-location,化学,通风柜位置与设计,化学,通风柜;实验室设计;排风;工程控制,public_authoritative_source,,,14
PRINCETON-CHEM-WASTE,Princeton Chemical Waste Management,Princeton Environmental Health and Safety,https://ehs.princeton.edu/laboratory-research/chemical-waste-management,废弃物,化学废物管理,化学,化学废物;标签;容器;暂存;处置,public_authoritative_source,,,40
UW-CHEM-SAFETY,UW Chemical Safety,University of Washington Environmental Health & Safety,https://www.ehs.washington.edu/chemical/chemical-safety,化学,化学安全,化学,化学品;SDS;储存;培训,public_authoritative_source,,,20
UW-CHEM-WASTE,UW Chemical Waste,University of Washington Environmental Health & Safety,https://www.ehs.washington.edu/chemical/chemical-waste,废弃物,化学废物,化学,化学废物;标签;容器;处置,public_authoritative_source,,,35
UW-BIO-WASTE,UW Biohazardous Waste,University of Washington Environmental Health & Safety,https://www.ehs.washington.edu/biological/biohazardous-waste,生物,生物危害废物,生物,生物危害废物;锐器;灭菌;处置,public_authoritative_source,,,28
UW-FUME-HOODS,UW Fume Hoods Use Inspection and Maintenance,University of Washington Environmental Health & Safety,https://www.ehs.washington.edu/research-lab/fume-hoods-use-inspection-and-maintenance,化学,通风柜使用检查维护,化学,通风柜;检查;维护;工程控制,public_authoritative_source,,,24
UCSD-FUME-HOODS,UC San Diego Chemical Fume Hoods Overview,UC San Diego Blink,https://blink.ucsd.edu/safety/research-lab/chemical/hoods/,化学,通风柜,化学,通风柜;排风;操作规范;工程控制,public_authoritative_source,,,24
UCSD-EXTREME-WASTE,UC San Diego Extremely Hazardous Chemical Waste,UC San Diego Blink,https://blink.ucsd.edu/safety/research-lab/hazardous-waste/disposal-guidance/extremely.html,废弃物,极高危化学废物,化学,极高危废物;标签;处置;暂存,public_authoritative_source,,,60
UTEXAS-FUME-HOODS,UT Austin Fume Hoods,UT Austin Environmental Health & Safety,https://ehs.utexas.edu/working-safely/equipment-safety/fume-hoods,化学,通风柜,化学,通风柜;检查;操作;工程控制,public_authoritative_source,,,24
UTEXAS-CHEM-WASTE,UT Austin Chemical Waste,UT Austin Environmental Health & Safety,https://ehs.utexas.edu/environment-waste/waste-management/chemical-waste,废弃物,化学废物,化学,化学废物;标签;容器;处置,public_authoritative_source,,,70
NCSU-FUME-HOODS,NC State Fume Hoods and Lab Exhaust,NC State Environmental Health and Safety,https://ehs.ncsu.edu/laboratory/fume-hoods/,化学,通风柜和实验室排风,化学,通风柜;实验室排风;维护;检查,public_authoritative_source,,,14
NCSU-LAB-SECURITY,NC State Laboratory Security and Safety Guidelines,NC State Environmental Health and Safety,https://ehs.ncsu.edu/laboratory-safety/laboratory-security-and-safety-guidelines/,通用,实验室安全与安保指南,通用,实验室安全;安保;准入;通用规则,public_authoritative_source,,,16
NCSU-CHEM-HAZARDS,NC State Chemical Hazards SSC,NC State Environmental Health and Safety,https://ehs.ncsu.edu/laboratory-safety/secondary-safety-contact/chemical-hazards-ssc/,化学,化学危害,化学,化学危害;二级安全联系人;风险控制,public_authoritative_source,,,16
NCSU-CHEM-WASTE,NC State Chemical Waste,NC State Environmental Health and Safety,https://ehs.ncsu.edu/home-page-info/environmental-affairs/chemical-waste/,废弃物,化学废物,化学,化学废物;标签;容器;处置,public_authoritative_source,,,28
