id,title,old_url,new_url,old_source_title,new_source_title,old_source_org,new_source_org,reason
KB-BLK-9064,激光对准——所有激光操作中最危险的环节,https://ors.od.nih.gov/sr/dohs/safety/laser/Pages/default.aspx,https://ors.od.nih.gov/sr/dohs/Documents/laser-safety-program.pdf,NIH Laser Safety Program,NIH Laser Safety Program,NIH ORS,NIH ORS,NIH ORS laser safety program page moved; replaced with the current NIH Laser Safety Program PDF.
KB-BLK-9065,激光器的非光束危害——有时候比光束本身更危险,https://ors.od.nih.gov/sr/dohs/safety/laser/Pages/default.aspx,https://ors.od.nih.gov/sr/dohs/Documents/laser-safety-program.pdf,NIH Laser Safety Program,NIH Laser Safety Program,NIH ORS,NIH ORS,NIH ORS laser safety program page moved; replaced with the current NIH Laser Safety Program PDF.
KB-BLK-9066,激光加工中的空气污染物——切割PVC可能释放光气,https://ors.od.nih.gov/sr/dohs/safety/laser/Pages/default.aspx,https://ors.od.nih.gov/sr/dohs/Documents/laser-safety-program.pdf,NIH Laser Safety Program,NIH Laser Safety Program,NIH ORS,NIH ORS,NIH ORS laser safety program page moved; replaced with the current NIH Laser Safety Program PDF.
KB-BLK-9067,Class 3B/4激光区的门禁联锁和安全标识要求,https://ors.od.nih.gov/sr/dohs/safety/laser/Pages/default.aspx,https://ors.od.nih.gov/sr/dohs/Documents/laser-safety-program.pdf,NIH Laser Safety Program,NIH Laser Safety Program,NIH ORS,NIH ORS,NIH ORS laser safety program page moved; replaced with the current NIH Laser Safety Program PDF.
KB-BLK-9073,气瓶遇火——可能发生BLEVE(沸腾液体膨胀蒸气爆炸),https://ors.od.nih.gov/sr/dohs/Documents/compressed-gas-cryogen-safety.pdf,https://ors.od.nih.gov/sr/dohs/Documents/compressed-gas-and-cryogen-safety-guidelines-document.pdf,NIH Compressed Gas and Cryogen Safety Guidelines,NIH Compressed Gas and Cryogen Safety Guidelines,NIH ORS,NIH ORS,NIH ORS compressed gas and cryogen PDF moved to the current guidelines document URL.
KB-BLK-9093,压缩气体气瓶的正确搬运方法,https://ors.od.nih.gov/sr/dohs/Documents/compressed-gas-cryogen-safety.pdf,https://ors.od.nih.gov/sr/dohs/Documents/compressed-gas-and-cryogen-safety-guidelines-document.pdf,NIH Compressed Gas and Cryogen Safety Guidelines,NIH Compressed Gas and Cryogen Safety Guidelines,NIH ORS,NIH ORS,NIH ORS compressed gas and cryogen PDF moved to the current guidelines document URL.
KB-BLK-9105,低温液体(Cryogens)的综合安全指南,https://ors.od.nih.gov/sr/dohs/Documents/compressed-gas-cryogen-safety.pdf,https://ors.od.nih.gov/sr/dohs/Documents/compressed-gas-and-cryogen-safety-guidelines-document.pdf,NIH Compressed Gas and Cryogen Safety Guidelines,NIH Compressed Gas and Cryogen Safety Guidelines,NIH ORS,NIH ORS,NIH ORS compressed gas and cryogen PDF moved to the current guidelines document URL.
KB-BLK-9131,激光安全等级(Class 1到Class 4)及对应控制措施,https://ors.od.nih.gov/sr/dohs/safety/laser/Pages/default.aspx,https://ors.od.nih.gov/sr/dohs/Documents/laser-safety-program.pdf,NIH Laser Safety Program,NIH Laser Safety Program,NIH ORS,NIH ORS,NIH ORS laser safety program page moved; replaced with the current NIH Laser Safety Program PDF.
KB-BLK-9132,飞秒/皮秒(超短脉冲)激光的特殊眼危害,https://ors.od.nih.gov/sr/dohs/safety/laser/Pages/default.aspx,https://ors.od.nih.gov/sr/dohs/Documents/laser-safety-program.pdf,NIH Laser Safety Program,NIH Laser Safety Program,NIH ORS,NIH ORS,NIH ORS laser safety program page moved; replaced with the current NIH Laser Safety Program PDF.
KB-BLK-9633010052,气瓶被撞击或倾倒后的风险评估,https://ors.od.nih.gov/sr/dohs/safety/compressed-gas-cryogen-safety.pdf,https://ors.od.nih.gov/sr/dohs/Documents/compressed-gas-and-cryogen-safety-guidelines-document.pdf,NIH Compressed Gas and Cryogen Safety Guidelines,NIH Compressed Gas and Cryogen Safety Guidelines,NIH ORS,NIH ORS,NIH ORS compressed gas and cryogen PDF moved from the old safety path to the current guidelines document URL.
KB-BLK-9633010097,激光粒度分析仪的安全操作——激光和化学品,https://ors.od.nih.gov/sr/dohs/safety/laser/Pages/default.aspx,https://ors.od.nih.gov/sr/dohs/Documents/laser-safety-program.pdf,NIH Laser Safety Program,NIH Laser Safety Program,NIH ORS,NIH ORS,NIH ORS laser safety program page moved; replaced with the current NIH Laser Safety Program PDF.
KB-BLK-9633010099,超短脉冲激光(飞秒/皮秒)的特殊危害——非线性吸收,https://ors.od.nih.gov/sr/dohs/safety/laser/Pages/default.aspx,https://ors.od.nih.gov/sr/dohs/Documents/laser-safety-program.pdf,NIH Laser Safety Program,NIH Laser Safety Program,NIH ORS,NIH ORS,NIH ORS laser safety program page moved; replaced with the current NIH Laser Safety Program PDF.
KB-BLK-9633010100,激光杂散光(Stray Light)和终止器(Beam Dump)的安全管理,https://ors.od.nih.gov/sr/dohs/safety/laser/Pages/default.aspx,https://ors.od.nih.gov/sr/dohs/Documents/laser-safety-program.pdf,NIH Laser Safety Program,NIH Laser Safety Program,NIH ORS,NIH ORS,NIH ORS laser safety program page moved; replaced with the current NIH Laser Safety Program PDF.
